"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Change in Rolling Seven-Day Average of COVID-19 Cases  - 14-Day Change","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pc_av7dy_2wk_cases","TimeFrame","GeoVintage","Source","Location"
"County","Autauga","AL","01001","=""01001""","49.20","2021-01-14","","New York Times","United States"
"County","Baldwin","AL","01003","=""01003""","-7.78","2021-01-14","","New York Times","United States"
"County","Barbour","AL","01005","=""01005""","-33.88","2021-01-14","","New York Times","United States"
"County","Bibb","AL","01007","=""01007""","7.34","2021-01-14","","New York Times","United States"
"County","Blount","AL","01009","=""01009""","11.04","2021-01-14","","New York Times","United States"
"County","Bullock","AL","01011","=""01011""","-50.51","2021-01-14","","New York Times","United States"
"County","Butler","AL","01013","=""01013""","-4.07","2021-01-14","","New York Times","United States"
"County","Calhoun","AL","01015","=""01015""","37.12","2021-01-14","","New York Times","United States"
"County","Chambers","AL","01017","=""01017""","36.68","2021-01-14","","New York Times","United States"
"County","Cherokee","AL","01019","=""01019""","22.58","2021-01-14","","New York Times","United States"
"County","Chilton","AL","01021","=""01021""","-5.52","2021-01-14","","New York Times","United States"
"County","Choctaw","AL","01023","=""01023""","71.00","2021-01-14","","New York Times","United States"
"County","Clarke","AL","01025","=""01025""","32.56","2021-01-14","","New York Times","United States"
"County","Clay","AL","01027","=""01027""","-9.38","2021-01-14","","New York Times","United States"
"County","Cleburne","AL","01029","=""01029""","55.17","2021-01-14","","New York Times","United States"
"County","Coffee","AL","01031","=""01031""","57.68","2021-01-14","","New York Times","United States"
"County","Colbert","AL","01033","=""01033""","2.63","2021-01-14","","New York Times","United States"
"County","Conecuh","AL","01035","=""01035""","144.75","2021-01-14","","New York Times","United States"
"County","Coosa","AL","01037","=""01037""","-16.67","2021-01-14","","New York Times","United States"
"County","Covington","AL","01039","=""01039""","37.86","2021-01-14","","New York Times","United States"
"County","Crenshaw","AL","01041","=""01041""","37.30","2021-01-14","","New York Times","United States"
"County","Cullman","AL","01043","=""01043""","-10.49","2021-01-14","","New York Times","United States"
"County","Dale","AL","01045","=""01045""","55.71","2021-01-14","","New York Times","United States"
"County","Dallas","AL","01047","=""01047""","-19.03","2021-01-14","","New York Times","United States"
"County","DeKalb","AL","01049","=""01049""","50.45","2021-01-14","","New York Times","United States"
"County","Elmore","AL","01051","=""01051""","-12.13","2021-01-14","","New York Times","United States"
"County","Escambia","AL","01053","=""01053""","42.05","2021-01-14","","New York Times","United States"
"County","Etowah","AL","01055","=""01055""","36.47","2021-01-14","","New York Times","United States"
"County","Fayette","AL","01057","=""01057""","78.19","2021-01-14","","New York Times","United States"
"County","Franklin","AL","01059","=""01059""","23.77","2021-01-14","","New York Times","United States"
"County","Geneva","AL","01061","=""01061""","25.20","2021-01-14","","New York Times","United States"
"County","Greene","AL","01063","=""01063""","-35.15","2021-01-14","","New York Times","United States"
"County","Hale","AL","01065","=""01065""","66.23","2021-01-14","","New York Times","United States"
"County","Henry","AL","01067","=""01067""","2.75","2021-01-14","","New York Times","United States"
"County","Houston","AL","01069","=""01069""","6.18","2021-01-14","","New York Times","United States"
"County","Jackson","AL","01071","=""01071""","-3.81","2021-01-14","","New York Times","United States"
"County","Jefferson","AL","01073","=""01073""","5.15","2021-01-14","","New York Times","United States"
"County","Lamar","AL","01075","=""01075""","-8.54","2021-01-14","","New York Times","United States"
"County","Lauderdale","AL","01077","=""01077""","-2.08","2021-01-14","","New York Times","United States"
"County","Lawrence","AL","01079","=""01079""","28.46","2021-01-14","","New York Times","United States"
"County","Lee","AL","01081","=""01081""","55.54","2021-01-14","","New York Times","United States"
"County","Limestone","AL","01083","=""01083""","13.26","2021-01-14","","New York Times","United States"
"County","Lowndes","AL","01085","=""01085""","100.00","2021-01-14","","New York Times","United States"
"County","Macon","AL","01087","=""01087""","26.97","2021-01-14","","New York Times","United States"
"County","Madison","AL","01089","=""01089""","24.99","2021-01-14","","New York Times","United States"
"County","Marengo","AL","01091","=""01091""","-7.43","2021-01-14","","New York Times","United States"
"County","Marion","AL","01093","=""01093""","2.18","2021-01-14","","New York Times","United States"
"County","Marshall","AL","01095","=""01095""","2.12","2021-01-14","","New York Times","United States"
"County","Mobile","AL","01097","=""01097""","22.77","2021-01-14","","New York Times","United States"
"County","Monroe","AL","01099","=""01099""","-21.61","2021-01-14","","New York Times","United States"
"County","Montgomery","AL","01101","=""01101""","36.74","2021-01-14","","New York Times","United States"
"County","Morgan","AL","01103","=""01103""","-4.86","2021-01-14","","New York Times","United States"
"County","Perry","AL","01105","=""01105""","-10.14","2021-01-14","","New York Times","United States"
"County","Pickens","AL","01107","=""01107""","9.62","2021-01-14","","New York Times","United States"
"County","Pike","AL","01109","=""01109""","82.86","2021-01-14","","New York Times","United States"
"County","Randolph","AL","01111","=""01111""","39.97","2021-01-14","","New York Times","United States"
"County","Russell","AL","01113","=""01113""","38.19","2021-01-14","","New York Times","United States"
"County","St. Clair","AL","01115","=""01115""","9.24","2021-01-14","","New York Times","United States"
"County","Shelby","AL","01117","=""01117""","10.94","2021-01-14","","New York Times","United States"
"County","Sumter","AL","01119","=""01119""","-80.77","2021-01-14","","New York Times","United States"
"County","Talladega","AL","01121","=""01121""","33.89","2021-01-14","","New York Times","United States"
"County","Tallapoosa","AL","01123","=""01123""","-26.28","2021-01-14","","New York Times","United States"
"County","Tuscaloosa","AL","01125","=""01125""","-18.89","2021-01-14","","New York Times","United States"
"County","Walker","AL","01127","=""01127""","-8.89","2021-01-14","","New York Times","United States"
"County","Washington","AL","01129","=""01129""","54.34","2021-01-14","","New York Times","United States"
"County","Wilcox","AL","01131","=""01131""","100.19","2021-01-14","","New York Times","United States"
"County","Winston","AL","01133","=""01133""","-3.05","2021-01-14","","New York Times","United States"
"County","Aleutians East","AK","02013","=""02013""","N/A","2021-01-14","","New York Times","United States"
"County","Aleutians West","AK","02016","=""02016""","10.70","2021-01-14","","New York Times","United States"
"County","Anchorage","AK","02020","=""02020""","0.14","2021-01-14","","New York Times","United States"
"County","Bethel","AK","02050","=""02050""","-52.71","2021-01-14","","New York Times","United States"
"County","Denali","AK","02068","=""02068""","N/A","2021-01-14","","New York Times","United States"
"County","Dillingham","AK","02070","=""02070""","150.88","2021-01-14","","New York Times","United States"
"County","Fairbanks North Star","AK","02090","=""02090""","46.95","2021-01-14","","New York Times","United States"
"County","Haines","AK","02100","=""02100""","N/A","2021-01-14","","New York Times","United States"
"County","Juneau","AK","02110","=""02110""","-13.77","2021-01-14","","New York Times","United States"
"County","Kenai Peninsula","AK","02122","=""02122""","29.41","2021-01-14","","New York Times","United States"
"County","Ketchikan Gateway","AK","02130","=""02130""","55.04","2021-01-14","","New York Times","United States"
"County","Kodiak Island","AK","02150","=""02150""","-25.07","2021-01-14","","New York Times","United States"
"County","Kusilvak","AK","02158","=""02158""","-52.51","2021-01-14","","New York Times","United States"
"County","Matanuska-Susitna","AK","02170","=""02170""","0.00","2021-01-14","","New York Times","United States"
"County","Nome","AK","02180","=""02180""","57.00","2021-01-14","","New York Times","United States"
"County","North Slope","AK","02185","=""02185""","176.46","2021-01-14","","New York Times","United States"
"County","Northwest Arctic","AK","02188","=""02188""","643.00","2021-01-14","","New York Times","United States"
"County","Petersburg","AK","02195","=""02195""","293.10","2021-01-14","","New York Times","United States"
