"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Average Annual Dollars per Person Spent on Medical Care","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","totslf_avg","TimeFrame","GeoVintage","Source","Location"
"County","Autauga","AL","01001","=""01001""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Baldwin","AL","01003","=""01003""","1180","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Barbour","AL","01005","=""01005""","1040","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Bibb","AL","01007","=""01007""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Blount","AL","01009","=""01009""","1050","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Bullock","AL","01011","=""01011""","890","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Butler","AL","01013","=""01013""","1130","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Calhoun","AL","01015","=""01015""","1090","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Chambers","AL","01017","=""01017""","1070","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cherokee","AL","01019","=""01019""","1220","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Chilton","AL","01021","=""01021""","1080","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Choctaw","AL","01023","=""01023""","1140","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Clarke","AL","01025","=""01025""","1080","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Clay","AL","01027","=""01027""","1150","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Cleburne","AL","01029","=""01029""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Coffee","AL","01031","=""01031""","1100","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Colbert","AL","01033","=""01033""","1120","2022","2022","PolicyMap and Quantitative Innovations","United States"
"County","Conecuh","AL","01035","=""01035""","1110","2022","2022","PolicyMap and Quantitative Innovations","United States"
